Time,Temperature,Humidity,LDR,Track,RGB,Status
2026-06-15 20:34:51.709860,28 °C,57 %,NORMAL
2026-06-15 20:34:52.158378,28 °C,57 %,INTRUSION
2026-06-15 20:34:52.706739,28 °C,57 %,NORMAL
2026-06-15 20:34:53.176352,28 °C,57 %,INTRUSION
2026-06-15 20:34:53.733740,28 °C,57 %,INTRUSION
2026-06-15 20:34:54.280488,28 °C,57 %,INTRUSION
2026-06-15 20:34:54.722633,28 °C,57 %,NORMAL
2026-06-15 20:34:55.288550,28 °C,57 %,NORMAL
2026-06-15 20:34:55.744013,28 °C,57 %,NORMAL
2026-06-15 20:34:56.283347,28 °C,57 %,NORMAL
2026-06-15 20:34:56.840531,28 °C,57 %,NORMAL
2026-06-15 20:34:57.280165,28 °C,57 %,NORMAL
2026-06-15 20:34:57.837436,28 °C,57 %,NORMAL
2026-06-15 20:34:58.363385,28 °C,57 %,NORMAL
2026-06-15 20:34:58.800515,28 °C,57 %,NORMAL
2026-06-15 20:34:59.351335,28 °C,57 %,NORMAL
2026-06-15 20:34:59.894110,28 °C,57 %,NORMAL
2026-06-15 20:35:00.334421,28 °C,57 %,NORMAL
2026-06-15 20:35:00.892973,28 °C,57 %,NORMAL
2026-06-15 20:35:01.436853,28 °C,57 %,NORMAL
2026-06-15 20:35:01.875649,28 °C,57 %,NORMAL
2026-06-15 20:35:02.438000,28 °C,57 %,NORMAL
2026-06-15 20:35:02.978922,28 °C,57 %,NORMAL
2026-06-15 20:35:03.419387,28 °C,57 %,NORMAL
2026-06-15 20:35:03.964979,28 °C,57 %,NORMAL
2026-06-15 20:35:04.511991,28 °C,57 %,NORMAL
2026-06-15 20:35:04.949342,28 °C,57 %,NORMAL
2026-06-15 20:35:05.492404,28 °C,57 %,NORMAL
2026-06-15 20:35:05.936762,28 °C,57 %,NORMAL
2026-06-15 20:35:06.479715,28 °C,57 %,NORMAL
2026-06-15 20:35:07.027548,28 °C,57 %,NORMAL
2026-06-15 20:35:07.572601,28 °C,57 %,NORMAL
2026-06-15 20:35:08.012269,28 °C,57 %,NORMAL
2026-06-15 20:35:08.555392,28 °C,57 %,NORMAL
2026-06-15 20:35:09.107289,28 °C,57 %,NORMAL
2026-06-15 20:35:09.535089,28 °C,57 %,NORMAL
2026-06-15 20:35:10.110002,28 °C,57 %,NORMAL
2026-06-15 20:35:10.656373,29 °C,56 %,NORMAL
2026-06-15 20:35:11.093360,29 °C,56 %,NORMAL
2026-06-15 20:35:11.640536,29 °C,56 %,NORMAL
2026-06-15 20:35:12.075732,29 °C,56 %,NORMAL
2026-06-15 20:35:12.623068,31 °C,53 %,NORMAL
2026-06-15 20:35:13.171545,31 °C,53 %,NORMAL
2026-06-15 20:35:13.716522,31 °C,53 %,NORMAL
2026-06-15 20:35:14.171799,31 °C,53 %,NORMAL
2026-06-15 20:35:14.717375,37 °C,48 %,WARNING
2026-06-15 20:35:15.153158,37 °C,48 %,WARNING
2026-06-15 20:35:15.698579,37 °C,48 %,WARNING
2026-06-15 20:35:16.244791,37 °C,48 %,WARNING
2026-06-15 20:35:16.790736,43 °C,41 %,WARNING
2026-06-15 20:35:17.232969,43 °C,41 %,WARNING
2026-06-15 20:35:17.773137,43 °C,41 %,WARNING
2026-06-15 20:35:18.213160,43 °C,41 %,WARNING
2026-06-15 20:35:18.758351,49 °C,33 %,WARNING
2026-06-15 20:35:19.305200,49 °C,33 %,WARNING
2026-06-15 20:35:19.849105,49 °C,33 %,WARNING
2026-06-15 20:35:20.291775,49 °C,33 %,WARNING
2026-06-15 20:35:20.829341,54 °C,25 %,WARNING
2026-06-15 20:35:21.384459,54 °C,25 %,WARNING
2026-06-15 20:35:21.821748,54 °C,25 %,WARNING
2026-06-15 20:35:22.369612,54 °C,25 %,WARNING
2026-06-15 20:35:22.922474,54 °C,18 %,WARNING
2026-06-15 20:35:23.358903,54 °C,18 %,WARNING
2026-06-15 20:35:23.904509,54 °C,18 %,WARNING
2026-06-15 20:35:24.443075,54 °C,18 %,WARNING
2026-06-15 20:35:24.897762,54 °C,16 %,WARNING
2026-06-15 20:35:25.426700,54 °C,16 %,WARNING
2026-06-15 20:35:25.976327,54 °C,16 %,WARNING
2026-06-15 20:35:26.429458,54 °C,16 %,WARNING
2026-06-15 20:35:26.998158,54 °C,14 %,WARNING
2026-06-15 20:35:27.434555,54 °C,14 %,WARNING
2026-06-15 20:35:27.989828,54 °C,14 %,WARNING
2026-06-15 20:35:28.527804,54 °C,14 %,WARNING
2026-06-15 20:35:28.971641,53 °C,12 %,WARNING
